"timestamp","shortestDistance","didCollide"
51362418,0.174352437,False
51362429,0.173066318,False
51362440,0.171547413,False
51362451,0.169963837,False
51362462,0.168247014,False
51362473,0.166404948,False
51362484,0.164819166,False
51362495,0.163275838,False
51362507,0.1615957,False
51362518,0.159996808,False
51362529,0.158714443,False
51362540,0.158041909,False
51362551,0.1580033,False
51362562,0.158432782,False
51362574,0.159259215,False
51362585,0.160372958,False
51362596,0.161515445,False
51362607,0.162637278,False
51362618,0.163687989,False
51362630,0.164761513,False
51362641,0.166205674,False
51362652,0.167978868,False
51362663,0.170116156,False
51362674,0.172529623,False
51362686,0.175133109,False
51362696,0.177692324,False
51362708,0.180212617,False
51362719,0.182490408,False
51362730,0.184519976,False
51362741,0.1863847,False
51362752,0.188067675,False
51362763,0.1901798,False
51362775,0.192474231,False
51362786,0.194800466,False
51362797,0.197161376,False
51362808,0.199192435,False
51362820,0.200342581,False
51362830,0.200692832,False
51362842,0.200810313,False
51362854,0.200936332,False
51362865,0.201368481,False
51362875,0.201700419,False
51362886,0.201871,False
51362898,0.202036947,False
51362909,0.201838851,False
51362920,0.2011208,False
51362931,0.199195981,False
51362943,0.196777761,False
51362954,0.191868186,False
51362964,0.18714875,False
51362976,0.182375729,False
51362987,0.17743969,False
51362998,0.172640741,False
51363010,0.168055654,False
51363021,0.163581789,False
51363032,0.159402192,False
51363044,0.157838643,False
51363055,0.1556772,False
51363066,0.152731717,False
51363076,0.149111331,False
51363088,0.145130754,False
51363099,0.1410799,False
51363110,0.13727504,False
51363121,0.133648336,False
51363132,0.130361736,False
51363143,0.1273861,False
51363155,0.124687314,False
51363166,0.122037351,False
51363177,0.119380355,False
51363188,0.116745889,False
51363199,0.114171863,False
51363210,0.111713946,False
51363221,0.109485805,False
51363232,0.107369244,False
51363244,0.105256259,False
51363255,0.103547394,False
51363267,0.101997435,False
51363278,0.100407481,False
51363288,0.09870678,False
51363300,0.09702414,False
51363311,0.09534067,False
51363322,0.09362608,False
51363334,0.0917969346,False
51363345,0.0898807645,False
51363355,0.08822894,False
51363367,0.08691609,False
51363378,0.0856094956,False
51363389,0.08443552,False
51363400,0.08326733,False
51363411,0.08211303,False
51363422,0.0807762742,False
51363433,0.07930565,False
51363445,0.07760453,False
51363456,0.07608181,False
51363467,0.07501018,False
51363479,0.07422155,False
51363490,0.07363737,False
51363501,0.07278061,False
51363512,0.07147694,False
51363523,0.06987363,False
51363535,0.06842017,False
51363545,0.06729549,False
51363557,0.06684387,False
51363568,0.0665185452,False
51363579,0.06614584,False
51363590,0.0656113,False
51363601,0.0647701,False
51363612,0.06363189,False
51363624,0.0624673367,False
51363635,0.0616639853,False
51363650,0.0611473322,False
51363659,0.06105578,False
51363670,0.06124568,False
51363680,0.06117493,False
51363691,0.0608485937,False
51363702,0.06034863,False
51363713,0.0597088337,False
51363724,0.05900377,False
51363736,0.05854398,False
51363746,0.05829513,False
51363758,0.0584777,False
51363769,0.05863881,False
51363780,0.05849701,False
51363791,0.0580726862,False
51363802,0.057530582,False
51363813,0.0569781661,False
51363825,0.05668521,False
51363836,0.0567317,False
51363847,0.0569722056,False
51363858,0.05727476,False
51363870,0.057539463,False
51363881,0.0577417,False
51363893,0.0578871965,False
51363903,0.0564384721,False
51363914,0.0543475635,False
51363925,0.0521841869,False
51363936,0.04998391,False
51363948,0.0477551743,False
51363958,0.04563948,False
51363970,0.04378751,False
51363981,0.04233899,False
