"timestamp","shortestDistance","didCollide"
52660223,0.119433552,False
52660234,0.119459987,False
52660245,0.119253784,False
52660257,0.118646294,False
52660268,0.117967337,False
52660280,0.11738956,False
52660291,0.11673215,False
52660303,0.115997612,False
52660313,0.115134388,False
52660324,0.114112943,False
52660335,0.11291787,False
52660346,0.111672282,False
52660357,0.110245854,False
52660369,0.108704418,False
52660380,0.106998861,False
52660391,0.10524407,False
52660402,0.103494555,False
52660413,0.101828568,False
52660424,0.100148626,False
52660436,0.09837051,False
52660446,0.0964579359,False
52660458,0.0945659652,False
52660469,0.09276277,False
52660480,0.091164,False
52660492,0.08965651,False
52660503,0.08806359,False
52660515,0.08649021,False
52660525,0.08491623,False
52660536,0.0834726244,False
52660547,0.0823241547,False
52660558,0.08144479,False
52660569,0.08060823,False
52660581,0.0796436,False
52660592,0.0787013844,False
52660603,0.07790472,False
52660614,0.07735148,False
52660625,0.07698362,False
52660636,0.07665093,False
52660647,0.07630035,False
52660659,0.0758495,False
52660670,0.0754521638,False
52660681,0.0752131343,False
52660693,0.07501881,False
52660704,0.07478584,False
52660715,0.074497506,False
52660726,0.07428737,False
52660737,0.0741044655,False
52660748,0.0739064738,False
52660759,0.0737996548,False
52660771,0.07356605,False
52660781,0.07205087,False
52660793,0.07049029,False
52660804,0.06887356,False
52660815,0.0671568662,False
52660826,0.0654227659,False
52660837,0.06369569,False
52660849,0.06199936,False
52660860,0.0603802949,False
52660871,0.05871181,False
52660882,0.0569840074,False
52660894,0.0553488135,False
52660905,0.0537049845,False
52660916,0.052070953,False
52660927,0.0504802242,False
52660938,0.04897818,False
52660949,0.0475609563,False
52660961,0.04643189,False
52660971,0.0454039425,False
52660983,0.0443240255,False
52660994,0.04325667,False
52661005,0.042140618,False
52661016,0.0409961119,False
52661028,0.03977638,False
52661039,0.0386975557,False
52661050,0.03778616,False
52661061,0.03689656,False
52661072,0.03598561,False
52661083,0.03507607,False
52661095,0.0342232138,False
52661106,0.03339032,False
52661118,0.03258918,False
52661128,0.03178909,False
52661139,0.03107968,False
52661150,0.0305228364,False
52661161,0.0301666223,False
52661172,0.02988368,False
52661183,0.02950778,False
52661195,0.0291792583,False
52661206,0.0288252067,False
52661217,0.0285000578,False
52661228,0.0281836428,False
52661240,0.0279707648,False
52661250,0.0278700944,False
52661262,0.0278848372,False
52661272,0.0278354585,False
52661284,0.0277532637,False
52661296,0.0277578831,False
52661307,0.0278419852,False
52661318,0.0279505849,False
52661329,0.0281589627,False
52661340,0.0283051133,False
52661351,0.0284385681,False
52661362,0.0286545157,False
52661373,0.02895391,False
52661385,0.029163003,False
52661396,0.0293496251,False
52661407,0.0295094848,False
52661418,0.0296586156,False
52661429,0.0298618674,False
52661442,0.0300562978,False
52661453,0.0302364826,False
52661464,0.0304051638,False
52661474,0.0303794742,False
52661485,0.0303323865,False
52661498,0.0302647352,False
52661509,0.0302228928,False
52661521,0.0303367376,False
52661531,0.0303759575,False
52661542,0.0305947065,False
52661553,0.0308657289,False
52661564,0.0311719775,False
52661576,0.0316220522,False
52661587,0.0321362,False
52661598,0.03264624,False
52661609,0.03316468,False
52661620,0.0336731076,False
52661632,0.03423935,False
52661642,0.0348483324,False
52661654,0.03542775,False
52661665,0.0361776352,False
52661676,0.0369885266,False
52661687,0.03801861,False
52661700,0.03855537,False
52661718,0.0392530262,False
52661728,0.0404331647,False
52661737,0.04083841,False
52661747,0.040508654,False
52661756,0.04027521,False
52661765,0.04021534,False
52661777,0.0404026434,False
52661788,0.0408212543,False
52661799,0.04172958,False
52661810,0.0426793844,True
52661821,0.0436071381,True
52661833,0.04450348,True
52661844,0.0453325,True
52661855,0.04614691,False
52661866,0.0466639474,False
52661877,0.04758033,False
52661888,0.04881328,False
52661900,0.0499240421,False
52661911,0.0509751476,True
52661922,0.0520389825,False
52661934,0.053184595,False
52661944,0.0541033149,False
52661961,0.052985847,False
52661970,0.052658584,False
52661979,0.05238581,False
52661988,0.0522635542,False
52662000,0.0522370078,False
52662011,0.05201185,False
52662022,0.051738508,False
52662033,0.0512514636,False
52662045,0.05042757,False
52662056,0.04958479,False
52662067,0.048806902,False
52662078,0.0480946153,False
52662089,0.0475396253,False
52662100,0.047236722,False
52662112,0.04699226,False
52662123,0.0466398075,False
52662134,0.046258837,False
52662145,0.0460821,False
52662156,0.0460598767,False
52662167,0.0461801924,False
52662178,0.04639262,False
52662190,0.046609126,False
52662201,0.0471737757,False
52662212,0.0480251,False
52662223,0.04895417,False
52662234,0.04998052,False
52662245,0.0510787964,False
52662257,0.0523155332,False
52662268,0.0531895421,False
52662279,0.0521693863,False
52662290,0.0508886874,False
52662301,0.0493413359,False
52662313,0.0476807132,False
52662324,0.04610679,False
52662338,0.0446357355,False
52662348,0.0431433767,False
52662357,0.0415423363,False
52662368,0.0399832949,False
52662379,0.03854394,False
52662390,0.03721826,False
52662402,0.03620724,False
52662413,0.035245128,False
52662424,0.0341993049,False
52662435,0.03315886,False
52662446,0.0320376381,True
52662457,0.0308506824,True
52662468,0.0298293,True
52662479,0.0290228166,True
52662490,0.0280780178,True
52662501,0.0271096863,True
52662513,0.0262188818,True
52662525,0.0253275055,True
52662536,0.0245156623,True
52662547,0.0238137841,True
52662557,0.0235969666,True
52662569,0.02379462,True
52662586,0.0240732152,True
52662595,0.02443435,True
52662604,0.0245029852,True
52662613,0.024376506,True
52662624,0.0240374152,True
52662636,0.02356471,True
52662647,0.0233962666,True
52662658,0.0235727374,False
52662669,0.0242315289,False
52662680,0.02394523,False
52662692,0.0235003922,False
52662703,0.0233829152,False
52662714,0.0235674661,False
52662726,0.02382747,False
52662736,0.02413981,False
52662748,0.02444765,False
52662759,0.0249227881,False
52662769,0.02553451,False
52662781,0.026063323,False
52662792,0.0263649225,False
52662803,0.02662599,False
52662814,0.0268030167,False
52662825,0.0270478725,False
52662837,0.0273002982,False
52662848,0.02750814,False
52662859,0.0276466012,False
52662870,0.0277829766,False
52662882,0.0279339552,False
52662892,0.0280068517,False
52662904,0.0280426741,False
52662915,0.0280135274,False
52662927,0.0279593468,False
52662938,0.0278198123,False
52662950,0.0276058316,False
52662960,0.0272772312,False
52662971,0.0269298553,False
52662982,0.026497066,False
52662993,0.0259121656,False
52663005,0.0252992511,True
52663015,0.0245751143,True
52663027,0.02373588,True
52663038,0.0229846835,True
52663056,0.02189684,True
52663066,0.0215494037,True
52663076,0.0208089948,True
52663084,0.0202663336,True
52663094,0.0202858243,True
52663105,0.0193482861,True
52663116,0.0187681876,True
52663128,0.01874091,True
52663140,0.0186406914,True
52663151,0.01895584,True
52663161,0.019890273,True
52663172,0.0207991935,True
52663183,0.0217450019,True
52663194,0.0229857713,True
52663206,0.0242681261,True
