"TimeOfCollision","x","y","z","other"
54635975,0.6944164,1.00663638,-0.645579457,s_model_finger_middle_link_1
54636232,0.77495867,1.02556181,-0.584748268,s_model_palm
54637014,1.02777863,0.909381866,-0.7435206,s_model_palm
