"TimeOfCollision","x","y","z","other"
55102138,0.492513955,1.06031024,-0.7052341,s_model_palm
55102517,0.4898063,1.06071663,-0.6978748,s_model_palm
55104003,0.450604051,1.04216278,-0.7059084,s_model_finger_2_link_1
55105031,0.484492481,1.0538168,-0.6939487,s_model_finger_middle_link_1
55105768,0.475124,1.05702078,-0.6843686,s_model_palm
55106685,0.487966716,1.0589292,-0.700525343,s_model_finger_middle_link_1
55107030,0.516891062,1.05995214,-0.703133166,s_model_finger_2_link_1
55107310,0.566402435,1.04914308,-0.700677752,s_model_finger_middle_link_1
55107556,0.6243583,1.04054093,-0.6907105,s_model_palm
55108047,0.706398547,1.03301954,-0.6533991,s_model_palm
55111867,0.8221589,0.995137334,-0.580976069,s_model_palm
55113609,1.02713287,0.8976707,-0.7388613,s_model_palm
55114189,1.0754801,0.9364858,-0.7377352,s_model_palm
