"TimeOfCollision","x","y","z","other"
65663018,0.4306436,0.966461062,-0.7125333,s_model_finger_middle_link_1
65664638,0.489893079,1.03440714,-0.7162232,s_model_palm
65666034,0.5012956,1.052937,-0.7157879,s_model_palm
65667195,0.6335686,1.04224062,-0.71880734,s_model_palm
65670166,0.760377765,0.948887646,-0.5526211,s_model_palm
65670759,0.7550958,0.9406393,-0.5642595,s_model_finger_middle_link_3
65670861,0.755784154,0.9409105,-0.5650825,s_model_finger_middle_link_3
65672948,0.971858263,0.948469639,-0.57164073,s_model_finger_middle_link_1
65673506,0.9580313,0.9221232,-0.629791439,s_model_finger_2_link_1
65675014,1.01486433,0.9198563,-0.743455768,s_model_palm
65675964,1.05636239,0.9394359,-0.722810447,s_model_palm
