"TimeOfCollision","x","y","z","other"
65708367,0.504567266,1.05398977,-0.6993499,s_model_palm
65708502,0.512510836,1.05508435,-0.6995488,s_model_palm
65709395,0.5005139,1.04596519,-0.6977385,s_model_palm
65710568,0.485564947,1.04300642,-0.6984436,s_model_palm
65711695,0.4701357,1.05103779,-0.697355,s_model_palm
65713393,0.46527046,1.03872061,-0.691916466,s_model_palm
65714667,0.48507297,1.05308688,-0.7047556,s_model_palm
65716924,0.5172642,1.04458427,-0.699528456,s_model_palm
65717459,0.524669945,1.04697585,-0.69981575,s_model_palm
65718409,0.5307621,1.07923222,-0.7021785,s_model_finger_2_link_1
65718855,0.5374657,1.08138442,-0.696785569,s_model_palm
65718978,0.538885951,1.07951546,-0.6974948,s_model_palm
65719939,0.5637891,1.07611167,-0.7002011,s_model_palm
65726350,0.8697109,0.9628351,-0.5597459,s_model_palm
65727076,0.93810606,0.9594828,-0.5488626,s_model_finger_1_link_1
