sus_pq,sus_pq_vf,sus,sus_vf,attrakDiff2_att,attrakDiff2_pq,attrakDiff2_hqi,attrakDiff2_hqs,attrakDiff2_hq,attrakDiff2_vf_att,attrakDiff2_vf_pq,attrakDiff2_vf_hqi,attrakDiff2_vf_hqs,attrakDiff2_vf_hq,tlx_ment,tlx_phys,tlx_temp,tlx_perf,tlx_eff,tlx_frust,tlx_score,tlx_vf_ment,tlx_vf_phys,tlx_vf_temp,tlx_vf_perf,tlx_vf_eff,tlx_vf_frust,tlx_vf_score,sart_s,sart_d,sart_u,sart_sa,sart_vf_s,sart_vf_d,sart_vf_u,sart_vf_sa
4.5000,4.3333,57.5000,47.5000,4.2857,5.5714,4.0000,2.5714,3.2857,4.4286,5.4286,3.7143,3.0000,3.3571,2.0000,2.0000,2.0000,4.0000,6.0000,5.0000,38.3333,4,2,2,4,4,0,30.0000,18,9,16,25.0000,15.0000,10.0000,19.0000,24.0000
7.0000,6.0000,52.5000,52.5000,6.0000,5.4286,5.1429,5.5714,5.3571,5.7143,5.5714,5.5714,4.8571,5.2143,2.0000,4.0000,6.0000,6.0000,6.0000,1.0000,38.3333,2,4,5,7,7,5,43.3333,15,6,18,27.0000,18.0000,9.0000,16.0000,25.0000
3.1667,2.5000,50.0000,55.0000,4.0000,4.2857,3.5714,3.8571,3.7143,2.4286,3.2857,3.2857,2.8571,3.0714,4.0000,6.0000,6.0000,5.0000,7.0000,3.0000,51.6667,2,6,5,4,3,7,48.3333,19,10,11,20.0000,22.0000,11.0000,12.0000,23.0000
4.1667,4.3333,55.0000,62.5000,5.1429,5.5714,4.7143,4.5714,4.6429,5.8571,6.0000,5.1429,4.5714,4.8571,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,21.6667,2,0,1,0,1,2,26.6667,21,3,14,32.0000,19.0000,13.0000,14.0000,20.0000
5.8333,5.5000,47.5000,50.0000,5.8571,5.0000,4.5714,4.5714,4.5714,4.8571,4.8571,4.1429,4.5714,4.3571,4.0000,4.0000,2.0000,9.0000,5.0000,0.0000,26.6667,7,5,3,7,6,5,48.3333,19,4,21,36.0000,25.0000,8.0000,17.0000,34.0000
4.0000,4.5000,65.0000,62.5000,4.2857,5.1429,4.4286,4.0000,4.2143,4.0000,5.0000,4.1429,4.1429,4.1429,3.0000,2.0000,3.0000,3.0000,1.0000,2.0000,30.0000,4,2,3,3,2,5,38.3333,11,5,15,21.0000,11.0000,7.0000,14.0000,18.0000
4.6667,4.6667,65.0000,57.5000,4.7143,4.7143,4.0000,2.8571,3.4286,6.1429,6.7143,5.1429,3.7143,4.4286,9.0000,8.0000,8.0000,8.0000,9.0000,7.0000,71.6667,7,6,10,10,2,8,55.0000,15,5,11,21.0000,21.0000,14.0000,11.0000,18.0000
4.3333,4.0000,55.0000,52.5000,5.4286,5.8571,5.2857,5.2857,5.2857,6.5714,5.7143,5.4286,4.8571,5.1429,4.0000,9.0000,5.0000,3.0000,8.0000,5.0000,63.3333,6,3,3,4,2,5,41.6667,14,7,13,20.0000,19.0000,3.0000,17.0000,33.0000
5.6667,5.6667,47.5000,45.0000,4.2857,5.1429,4.1429,2.5714,3.3571,3.8571,5.4286,4.4286,2.5714,3.5000,1.0000,1.0000,0.0000,6.0000,2.0000,0.0000,13.3333,1,1,1,4,2,1,20.0000,12,9,12,15.0000,10.0000,5.0000,13.0000,18.0000
3.5000,3.6667,57.5000,50.0000,4.4286,5.5714,3.5714,3.5714,3.5714,4.2857,5.1429,5.1429,4.7143,4.9286,4.0000,2.0000,8.0000,6.0000,7.0000,2.0000,45.0000,5,2,9,7,7,4,50.0000,16,9,10,17.0000,8.0000,5.0000,17.0000,20.0000
