"TimeOfCollision","x","y","z","other"
65539225,0.7855638,0.8101433,-0.343548179,s_model_palm
65541180,0.7494595,0.795215547,-0.338196278,s_model_palm
65543011,0.354345977,0.819173634,-0.361347258,s_model_palm
