"TimeOfCollision","x","y","z","other"
40167565,0.6487694,0.8270229,-0.52443856,_targetObjectSphere
40168745,0.6466619,0.8456099,-0.521871,_targetObjectSphere
40169855,0.642173,0.858489931,-0.517946959,_targetObjectSphere
40171083,0.679210365,0.860235751,-0.369658828,_targetObjectSphere
40171887,0.687869251,0.881062,-0.371682137,_targetObjectSphere
40173384,0.661711037,0.872194767,-0.5177292,_targetObjectSphere
