id,vf,course,trial,left,start,stop,obj_coll,gripper_coll,duration
2,0,Course1_VF,2,0,54991729,54992533,0,0,804
2,0,Course1_VF,3,0,54994163,54994945,0,0,782
2,0,Course1_VF,4,0,54996587,54997425,0,0,838
2,0,Course1_VF,5,0,54999301,55000195,0,0,894
2,0,Course2_VF,0,0,55002395,55005321,0,1,2926
2,0,Course2_VF,1,0,55007277,55010449,0,2,3172
2,0,Course2_VF,2,0,55012816,55015385,0,1,2569
2,0,Course2_VF,3,0,55018324,55021484,0,2,3160
2,0,Course2_VF,4,0,55024211,55026354,0,2,2143
2,0,Course2_VF,5,0,55028499,55031202,0,1,2703
2,0,Course3_VF,0,0,55033301,55035782,0,6,2481
2,0,Course3_VF,1,0,55037903,55040294,1,7,2391
2,0,Course3_VF,2,0,55042762,55044907,1,5,2145
2,0,Course3_VF,3,0,55047130,55049475,0,6,2345
2,0,Course3_VF,4,0,55051497,55053396,0,7,1899
2,0,Course3_VF,5,0,55055462,55057506,0,3,2044
3,1,Course1_VF,0,1,56489024,56492832,0,2,3808
3,1,Course1_VF,1,1,56498160,56502707,0,0,4547
3,1,Course1_VF,2,1,56507364,56511107,0,0,3743
3,1,Course1_VF,3,1,56515350,56517919,0,0,2569
3,1,Course1_VF,4,1,56522376,56525224,0,0,2848
3,1,Course1_VF,5,1,56529458,56532328,0,0,2870
3,1,Course2_VF,0,1,56538181,56553830,0,2,15649
3,1,Course2_VF,1,1,56558375,56566809,0,1,8434
3,1,Course2_VF,2,1,56570093,56580514,0,1,10421
3,1,Course2_VF,3,1,56584334,56595102,0,0,10768
3,1,Course2_VF,4,1,56598385,56609823,0,0,11438
3,1,Course2_VF,5,1,56614939,56627694,0,0,12755
3,1,Course3_VF,0,1,56633357,56650234,1,1,16877
3,1,Course3_VF,1,1,56657807,56675031,0,4,17224
3,1,Course3_VF,2,1,56681766,56697314,0,3,15548
3,1,Course3_VF,3,1,56703536,56718034,0,3,14498
3,1,Course3_VF,4,1,56722423,56738686,0,1,16263
3,1,Course3_VF,5,1,56746349,56763506,0,0,17157
3,0,Course1,0,1,57384490,57388768,0,0,4278
3,0,Course1,1,1,57392454,57394688,0,0,2234
3,0,Course1,2,1,57398240,57400061,0,0,1821
3,0,Course1,3,1,57403579,57405109,0,0,1530
3,0,Course1,4,1,57408293,57409856,0,0,1563
3,0,Course1,5,1,57412660,57414168,0,0,1508
3,0,Course2,0,1,57417708,57425728,0,0,8020
3,0,Course2,1,1,57428878,57436249,0,1,7371
3,0,Course2,2,1,57440203,57446268,0,0,6065
3,0,Course2,3,1,57449217,57455896,0,0,6679
3,0,Course2,4,1,57459214,57464631,0,1,5417
3,0,Course2,5,1,57467546,57472885,0,2,5339
3,0,Course3,0,1,57477476,57487339,0,2,9863
3,0,Course3,1,1,57490367,57499771,0,1,9404
3,0,Course3,2,1,57503446,57512024,0,2,8578
3,0,Course3,3,1,57515152,57525673,0,2,10521
3,0,Course3,4,1,57530454,57543802,0,2,13348
3,0,Course3,5,1,57547108,57561014,0,1,13906
4,0,Course1,0,1,35725259,35726142,0,0,883
4,0,Course1,1,1,35733224,35733972,0,0,748
4,0,Course1,2,1,35735915,35736608,0,0,693
4,0,Course1,3,1,35739210,35739936,0,0,726
4,0,Course1,4,1,35742047,35742774,0,0,727
4,0,Course1,5,1,35744795,35745622,0,0,827
4,0,Course2,0,1,35747789,35750849,0,0,3060
4,0,Course2,1,1,35752960,35756434,0,1,3474
4,0,Course2,2,1,35758936,35763247,0,1,4311
4,0,Course2,3,1,35766755,35771759,0,0,5004
4,0,Course2,4,1,35774819,35778784,0,0,3965
4,0,Course2,5,1,35781253,35785777,0,0,4524
4,0,Course3,0,1,35789898,35798566,0,3,8668
4,0,Course3,1,1,35801816,35811091,0,2,9275
4,0,Course3,2,1,35820011,35825942,1,2,5931
4,0,Course3,3,1,35829729,35836241,0,1,6512
4,0,Course3,4,1,35840720,35846885,0,2,6165
4,0,Course3,5,1,35850672,35856189,0,1,5517
4,0,PauseVF,0,1,36357382,36378671,3,3,21289
4,0,PauseVF,1,1,36382669,36383071,0,0,402
4,0,PauseVF,2,1,36384803,36385417,0,0,614
4,0,PauseVF,3,1,36388702,36389159,1,1,457
4,0,PauseVF,4,1,36390936,36394052,2,1,3116
4,0,PauseVF,5,1,36397381,36397771,0,0,390
4,0,Course1_VF,0,1,36399648,36400631,0,0,983
4,0,Course1_VF,1,1,36403110,36404283,0,0,1173
4,0,Course1_VF,2,1,36406473,36407813,0,1,1340
4,0,Course1_VF,3,1,36409879,36411209,0,0,1330
4,0,Course1_VF,4,1,36413197,36414526,0,0,1329
4,0,Course1_VF,5,1,36416715,36417742,0,0,1027
4,0,Course2_VF,0,1,36422669,36427996,0,1,5327
4,0,Course2_VF,1,1,36431147,36435603,0,1,4456
4,0,Course2_VF,2,1,36438976,36444873,0,0,5897
4,0,Course2_VF,3,1,36447666,36452905,0,1,5239
4,0,Course2_VF,4,1,36455876,36460099,0,1,4223
4,0,Course2_VF,5,1,36462991,36467537,0,0,4546
4,0,Course3_VF,0,1,36471580,36480918,0,2,9338
4,0,Course3_VF,1,1,36484113,36492691,0,1,8578
4,0,Course3_VF,2,1,36495371,36502609,0,3,7238
4,0,Course3_VF,3,1,36506027,36512729,0,0,6702
4,0,Course3_VF,4,1,36515142,36518616,0,3,3474
4,0,Course3_VF,5,1,36520605,36523397,0,0,2792
5,1,Course1_VF,0,1,42599532,42602570,0,0,3038
5,1,Course1_VF,1,1,42607697,42610568,0,0,2871
5,1,Course1_VF,2,1,42614555,42617057,0,0,2502
5,1,Course1_VF,3,1,42620632,42622664,0,0,2032
5,1,Course1_VF,4,1,42625792,42627578,0,0,1786
5,1,Course1_VF,5,1,42631655,42634739,0,0,3084
5,1,Course2_VF,0,1,42640748,42646634,0,1,5886
5,1,Course2_VF,1,1,42650365,42655816,0,0,5451
5,1,Course2_VF,2,1,42658955,42664674,0,0,5719
5,1,Course2_VF,3,1,42667645,42672437,0,0,4792
5,1,Course2_VF,4,1,42675452,42680880,0,1,5428
5,1,Course2_VF,5,1,42683975,42689715,0,0,5740
5,1,Course3_VF,0,1,42700739,42713529,1,4,12790
5,1,Course3_VF,1,1,42716936,42726988,0,1,10052
5,1,Course3_VF,2,1,42750657,42760565,0,2,9908
5,1,Course3_VF,3,1,42768361,42779173,0,0,10812
5,1,Course3_VF,4,1,42782970,42792543,0,1,9573
