"timestamp","shortestDistance","didCollide"
53724071,0.130852461,False
53724082,0.131242216,False
53724093,0.13168633,False
53724105,0.131937981,False
53724116,0.1318678,False
53724127,0.131681383,False
53724138,0.131539345,False
53724149,0.131450444,False
53724160,0.131280243,False
53724171,0.131022185,False
53724183,0.130620718,False
53724195,0.130507886,False
53724205,0.130315483,False
53724216,0.129913911,False
53724227,0.129331827,False
53724238,0.12872681,False
53724250,0.128197119,False
53724261,0.127758428,False
53724272,0.12734279,False
53724283,0.126704559,False
53724294,0.126011208,False
53724305,0.1253117,False
53724317,0.124518573,False
53724328,0.123736873,False
53724339,0.122747876,False
53724350,0.121478215,False
53724361,0.119942538,False
53724373,0.118352585,False
53724384,0.11694774,False
53724395,0.115798563,False
53724406,0.114583232,False
53724417,0.113214523,False
53724428,0.111796215,False
53724440,0.110476933,False
53724451,0.109311707,False
53724462,0.108256429,False
53724473,0.107251182,False
53724485,0.106118754,False
53724495,0.104158223,False
53724506,0.101903662,False
53724518,0.099694185,False
53724529,0.09773455,False
53724540,0.0957519859,False
53724551,0.09368024,False
53724563,0.09175522,False
53724573,0.08990626,False
53724585,0.0879896954,False
53724597,0.08588499,False
53724608,0.08369856,False
53724619,0.08156248,False
53724630,0.0794993341,False
53724640,0.0775710642,False
53724652,0.07568794,False
53724663,0.07387939,False
53724674,0.0720145851,False
53724686,0.070113644,False
53724696,0.0685240552,False
53724708,0.06704021,False
53724719,0.06547536,False
53724730,0.06383303,False
53724741,0.06209297,False
53724752,0.06033784,False
53724764,0.05841337,False
53724775,0.0566319227,False
53724786,0.0550660454,False
53724797,0.05366467,False
53724809,0.0522470735,False
53724820,0.0507910065,False
53724831,0.04923802,False
53724842,0.04755782,False
53724853,0.04583233,False
53724864,0.0441282243,False
53724875,0.0426085442,False
53724886,0.0412377827,False
53724897,0.0400671363,False
53724909,0.038850572,False
53724920,0.03755238,False
53724931,0.03628837,False
53724942,0.03504921,False
53724954,0.0338363,False
53724965,0.032578066,False
53724976,0.0314420424,False
53724987,0.03040209,False
53724998,0.02949106,False
53725010,0.0287617128,False
53725021,0.0281621646,False
53725032,0.0274971221,False
53725043,0.0267935172,False
53725054,0.0261125937,False
53725065,0.0256259665,False
53725076,0.0251969267,False
53725087,0.02473188,False
53725099,0.0242093429,False
53725110,0.0237773936,False
53725121,0.0233700741,False
53725132,0.0229480714,False
53725143,0.0225764271,False
53725154,0.0222496279,False
53725166,0.02208316,False
53725177,0.0219079275,False
53725188,0.02165555,False
53725199,0.021463098,False
53725211,0.0212114938,False
53725222,0.0209640283,False
53725233,0.0206253529,False
53725244,0.0204322934,False
53725259,0.0202752948,False
53725267,0.0201506615,False
53725277,0.0201482177,False
53725289,0.0198950768,False
53725300,0.01960659,False
53725311,0.0194450617,False
53725322,0.01930952,False
53725333,0.019216001,False
53725344,0.0193147063,False
53725356,0.019397974,False
53725367,0.019408524,False
53725378,0.01937437,False
53725389,0.0193501115,False
53725400,0.0193437338,False
53725412,0.0193092823,False
53725423,0.0193455219,False
53725434,0.0194726586,False
53725445,0.0196046829,False
53725456,0.0196915865,False
53725467,0.0197117329,False
53725478,0.0197448134,False
53725490,0.01985228,False
53725501,0.0200279355,False
53725512,0.0202028751,False
53725523,0.02021873,False
53725534,0.0202115178,False
53725545,0.0203486681,False
53725557,0.020555079,False
53725568,0.020709455,False
53725579,0.02084905,False
53725590,0.0209613442,False
53725601,0.021034956,False
53725612,0.0211921334,False
53725624,0.0212603211,False
53725635,0.0213261843,False
53725646,0.0214948654,False
53725657,0.0217692256,False
53725668,0.02206099,False
53725679,0.0222272277,False
